23,count
salt,26214
butter,13315
water,10568
sugar,9779
pepper,9444
milk,7229
parmesan cheese,6575
eggs,6406
olive oil,5867
black pepper,5269
flour,5046
cinnamon,4963
vanilla,4631
brown sugar,4565
egg,4342
vanilla extract,4193
lemon juice,4132
sour cream,3967
walnuts,3859
fresh parsley,3782
onion,3664
garlic cloves,3562
parsley,3521
tomatoes,3421
pecans,3354
fresh ground black pepper,3311
all-purpose flour,3204
powdered sugar,3132
cornstarch,3000
cayenne pepper,2926
nutmeg, 2891
paprika,2701
cheddar cheese,2692
unsalted butter,2673
raisins,2655
Worcestershire sauce,2562
baking soda,2553
garlic powder,2418
baking powder,2362
chili powder,2291
chicken broth,2251
heavy cream,2190
ground cinnamon,2147
garlic,2132
margarine,2099
fresh cilantro,2081
honey,2023
cilantro,1985
soy sauce,1912
kosher salt,1894
confectioners' sugar,1815
cream cheese,1781
dried oregano,1768
oregano,1730
bay leaf,1719
tomato paste,1670
ground cumin,1655
ground black pepper,1630
mozzarella cheese,1615
cumin,1604
green onion,1527
fresh lemon juice,1490
garlic clove,1479
granulated sugar,1453
extra virgin olive oil,1451
carrots,1396
chocolate chips,1385
dried thyme,1343
fresh basil,1327
bay leaves,1320
buttermilk,1311
thyme,1303
green onions,1263
canola oil,1256
carrot,1246
fresh ground pepper,1205
basil,1201
dried basil,1171
lemon,1135
Dijon mustard,1058
ground cloves,1031
white pepper,1025
ground nutmeg,1023
tomato sauce,1006
sea salt,1004
red onion,978
celery,959
mayonnaise,956
red pepper flakes,939
lime juice,927
crushed red pepper flakes,920
ginger,915
monterey jack cheese,908
zucchini,908
diced tomatoes,892
Tabasco sauce,843
bacon,841
ground ginger,836
potatoes,836
red bell pepper,810
dry white wine,805
onions,799
cheese,778
red wine vinegar,771
white wine,753
feta cheese,750
fresh thyme,749
ketchup,747
vinegar,743
half-and-half,737
cayenne,731
fresh ginger,730
salsa,724
sharp cheddar cheese,712
cooked rice,705
scallions,700
allspice,697
avocado,691
lime,688
sesame seeds,686
onion powder,682
chives,679
lemon zest,678
beef broth,673
dry mustard,662
cold water,640
light brown sugar,638
clove,618
black beans,616
flat leaf parsley,613
molasses,596
icing sugar,594
turmeric,591
green pepper,589
cider vinegar,586
maple syrup,580
curry powder,576
lettuce,573
coconut,572
boiling water,567
parsley flakes,560
cauliflower,559
pine nuts,558
black olives,557
green bell pepper,555
white rice,554
cherry tomatoes,554
fresh lime juice,551
red chili powder,550
pure vanilla extract,550
capers,548
shrimp,547
large shrimp,545
swiss cheese,544
ground coriander,543
fresh coriander leaves,543
poppy seed,542
grape tomatoes,539
vinegar,538
quick-cooking oats,535
brown rice,533
sunflower seeds,532
chopped tomato,532
broth,531
black beans,528
light brown sugar,527
fresh lime juice,523
lettuce leaves,520
snow peas,519
turmeric,519
tortilla chips,518
coriander powder,515
penne pasta,511
coconut milk,507
part-skim mozzarella cheese,506
onions,504
dried dill,501
chocolate,497
beef broth,495
cooked brown rice,495
apple,489
dried cherries,487
maple syrup,482
crouton,481
currants,477
ground coriander,474
blueberries,473
stewed tomatoes,471
caster sugar,468
canned pumpkin,467
hot water,466
plain flour,464
creamy peanut butter,463
pecorino romano cheese,461
garam masala,458
corn syrup,458
mango,454
iceberg lettuce,454
cumin powder,451
apple cider,447
crystallized ginger,446
sweetened condensed milk,443
rice,439
table salt,436
mint leaf,433
pure maple syrup,430
heavy whipping cream,425
corn tortillas,422
dry mustard,420
sweet paprika,419
angel hair pasta,417
cardamom,414
baguette,413
whole tomatoes,413
spring onions,411
dried cranberries,410
feta,407
ground turkey,404
oranges,403
watercress,398
green bell pepper,396
fresh dill,392
lemons,391
parmigiano-reggiano cheese,391
basmati rice,389
vegetable shortening,388
dried thyme leaves,387
dried tarragon,385
yellow cornmeal,383
mashed potatoes,383
capers,381
kidney beans,379
prosciutto,378
lemon pepper,378
cinnamon sticks,378
low sodium soy sauce,377
vegetable broth,373
fresh thyme leave,373
of fresh mint,372
brandy,371
green pepper,370
boiling water,369
maraschino cherry,368
evaporated milk,365
light soy sauce,364
curry leaves, 362
ricotta cheese,361
phyllo dough,359
white beans,359
white vinegar,354
bread flour,354
pasta,353
broccoli florets,353
plain yogurt,353
cherry tomatoes,352
wheat germ,350
cooked ham,345
eggplant,343
whole kernel corn,341
basil leaves,341
molasses,341
crushed tomatoes,339
spaghetti,337
fish sauce,337
clove,335
vanilla essence,334
cognac,333
yellow mustard,333
dry red wine,333
fresh garlic,329
red chilies,329
Fontina cheese,329
sweet potato,329
lemon slice,326
salmon fillets,324
roasted peanuts,324
turkey,323
fresh rosemary,322
fresh parsley leaves,322
smoked sausage,321
thyme leaves,321
mussels,319
horseradish,319
dried cranberries,318
ground beef,316
red wine,316
fresh raspberry,315
green peppers,314
orzo pasta,314
flour tortillas,313
lemongrass,311
orange  ,311
scallion,310
chicken bouillon cubes,307
fresh cilantro leaves,307
fresh cranberries,308
vegetable broth,306
reduced-fat sour cream,305
granny smith apples,305
great northern beans,304
Thai basil,304
diced green chilies,302
lump crabmeat,301
dried parsley,300
mushrooms,299
orange zest,299
frozen green pea,298
fresh oregano,298
apple cider vinegar,297
oregano leaves,297
button mushrooms,296
chickpeas,295
radish,294
cucumber,293
mushroom,292
fettuccine,290
spinach,289
English cucumber,289
pearl barley,288
fresh chives,288
dried oregano leaves,286
Grand Marnier,286
nonfat sour cream,285
white sugar,285
sherry wine vinegar,284
white sugar,284
saffron thread,283
ground allspice,283
canned tomatoes,283
golden raisin,281
green chilies,281
hot water,280
bananas,278
apples,278
sun-dried tomato,278
low-fat cheddar cheese,277
fresh cilantro stem,277
corn kernel,276
mushrooms,276
mace,275
Splenda granular,274
pesto sauce,274
coconut milk,274
dried rosemary,274
rice,272
fresh dill,270
evaporated milk,270
puff pastry,270
chipotle chile in adobo,269
shortening,266
rolled oats,266
wonton wrappers,265
parsley sprig,264
rice vinegar,264
water chestnuts,264
gruyere,264
boneless skinless chicken breast,264
bean sprouts,263
yukon gold potatoes,262
low sodium chicken broth,262
bread machine yeast,261
fresh mushrooms,261
low sodium beef broth,260
white cheddar cheese,260
rosemary,259
chicken breast,259
white vinegar,258
red cabbage,257
cocoa powder,255
salted peanuts,255
extra-sharp cheddar cheese,255
seasoning salt,254
red chili pepper,250
green chili,249
sliced ripe olives,249
boneless skinless chicken breasts,248
of fresh mint,248
mushroom,246
instant coffee,246
chicken thighs,246
fresh tomato,245
celery rib,245
fresh mozzarella cheese,245
heavy whipping cream,243
chili pepper,243
bok choy,242
diced tomatoes with juice,240
frozen corn,239
vanilla bean,239
rice wine,238
ice cream,238
dark brown sugar,237
herbs,236
fresh rosemary,235
peanuts,235
queso fresco,235
cucumbers,234
corn kernels,233
mangoes,233
maraschino cherries,233
fresh raspberries,233
cooked pasta,232
gouda cheese,232
dry sherry,231
ground pepper,231
wine,231
beef,230
pasta,230
light coconut milk,229
romaine lettuce,229
fish sauce,227
mint sprig,227
chicken,227
liquid smoke,225
parmigiano-reggiano cheese,225
blue cheese,224
long-grain rice,223
tortilla chips,221
wine vinegar,222
okra,221
granny smith apple,221
panko breadcrumbs,220
potato,220
lemon peel,220
salmon,219
cracked black pepper,219
plum tomatoes,218
old fashioned oats,215
fresh tarragon,215
fat free sour cream,215
brewed coffee,215
dried dill weed,215
cardamom pods,215
pimientos,214
caraway seed,214
garam masala powder,214
yoghurt,214
hoisin sauce,213
orange zest,212
fresh parmesan cheese,211
raw sugar,210
pitted black olives,210
green olives,210
walnut halves,210
coarse salt,210
light sour cream,209
boneless skinless chicken thighs,208
leek,208
chipotle chiles in adobo,208
gruyere cheese,208
fresh ginger,206
nonfat milk,205
red wine,203
dried sage,198
arugula,198
lettuce leaf,197
pumpkin pie spice,195
whole cloves,194
Cool Whip,192
pine nuts,188
unbleached all-purpose flour,187
cooked white rice,187
asparagus,185
frozen blueberries,181
low-fat sour cream,179
flour tortillas,179
frozen spinach,178
pineapple,178
cider vinegar,175
fresh chives,174
pistachios,174
Splenda sugar substitute,173
cucumber,173
ghee,172
swiss cheese,171
tortillas,170
coconut oil,166
coconut,166
peanuts,166
Velveeta cheese,164
boneless skinless chicken breast halves,163
catsup,159
kale,158
long grain rice,158
dried parsley flakes,157
ground mustard,157
kalamata olives,155
ground allspice,154
ground pork,153
curry powder,151
American cheese,150
bell peppers,150
dried parsley,149
fresh coriander,149
quick oats,148
green cabbage,148
romano cheese,148
low sodium chicken broth,147
egg substitute,147
low-fat milk,146
dark brown sugar,146
artichoke hearts,145
reduced-sodium chicken broth,144
light corn syrup,143
rosemary,142
blueberries,137
poppy seeds,137
frozen corn kernels,135
russet potatoes,133
diced tomato,132
green peas,132
tamari,132
green bell peppers,132
shortening,130
orange marmalade,127
sweet onion,127
berries,124
macaroni,122
flaked coconut,121
beer,120
corn,118
coarse sea salt,118
pears,117
bacon bits,117
beef bouillon cubes,116
ground pepper,116
turbinado sugar,115
peppercorns,114
colby-monterey jack cheese,114
cabbage,114
radishes,114
gorgonzola,114
lemon wedge,112
rigatoni pasta,112
fresh tomatoes,112
low-fat buttermilk,112
fresh flat-leaf parsley,111
chilies,111
green beans,111
bittersweet chocolate,108
fresh lemon rind,108
dry sherry,108
tomato puree,108
mascarpone cheese,107
pecan pieces,107
roma tomato,107
white wine vinegar,106
fresh spinach,106
ground beef,106
white flour,106
sliced water chestnuts,105
fettuccine pasta,105
unsweetened coconut,104
adobo sauce,104
firm tofu,104
unflavored gelatin,102
shallots,101
walnut pieces,101
apples,100
cake flour,100
cinnamon stick,99
clams,98
tuna,97
yellow onions,96
mirin,96
coffee,95
cornmeal,95
red chile,95
spring onion,94
lemon wedges,93
